order_id,cst_id,order_date,warehouse_id,payment_method,order_status
ORD1000060,CUST103076,12/13/2024,WH003,GCash,Completed
ORD1000061,CUST100763,02/21/2024,WH008,Debit Card,Completed
ORD1000062,CUST100605,09/06/2024,WH001,Cash,Completed
ORD1000063,CUST100824,07/03/2025,WH003,gcash,Completed
ORD1000064,CUST101347,03/11/2025,WH003,,Completed
ORD1000065,CUST101317,02/10/2024,WH005,Debit Card,Completed
ORD1000066,CUST102717,06/08/2024,WH005,Bank Transfer,Completed
ORD1000067,CUST103339,12/26/2025,WH001,Debit Card,Completed
ORD1000068,CUST100052,12/01/2025,WH005,Bank Transfer,Completed
ORD1000069,CUST101870,11/01/2025,WH005,,Completed
ORD1000070,CUST102191,01/08/2025,WH005,Cash,Completed
ORD1000071,CUST100838,11/10/2024,WH005,Credit Card,Pending
ORD1000072,CUST101452,07/02/2025,WH006,Cash,Completed
ORD1000073,CUST102563,11/29/2025,WH006,Bank Transfer,Completed
ORD1000074,CUST101812,04/01/2024,WH001,Credit Card,Completed
ORD1000075,CUST100223,10/15/2025,WH006,,Completed
ORD1000076,CUST101465,03/26/2025,WH007,Bank Transfer,Completed
ORD1000077,CUST101141,04/12/2024,WH004,Credit Card,Completed
ORD1000078,CUST100684,09/23/2025,WH003,gcash,Completed
ORD1000079,CUST100363,01/24/2024,WH005,GCash,Completed
ORD1000080,CUST101220,01/17/2024,WH002,gcash,Pending
ORD1000081,CUST103013,09/25/2024,WH004,gcash,Completed
ORD1000082,CUST103014,01/29/2025,WH002,Cash,Completed
ORD1000083,CUST100547,11/08/2024,WH003,gcash,Returned
ORD1000084,CUST102139,06/29/2024,WH007,GCash,Completed
ORD1000085,CUST102581,04/24/2025,WH008,Debit Card,Completed
ORD1000086,CUST101671,12/15/2024,WH004,GCash,Completed
ORD1000087,CUST100123,03/28/2024,WH008,,Completed
ORD1000088,CUST102472,08/18/2025,WH003,,Returned
ORD1000089,CUST100581,08/13/2024,WH003,Debit Card,Completed
ORD1000090,CUST100644,05/18/2025,WH008,Bank Transfer,Completed
ORD1000091,CUST100996,09/13/2024,WH005,Bank Transfer,Completed
ORD1000092,CUST100293,07/04/2025,WH005,Cash,Completed
ORD1000093,CUST103277,07/24/2024,WH003,GCash,Completed
ORD1000094,CUST101921,06/03/2024,WH006,GCash,Cancelled
ORD1000095,CUST102854,02/24/2024,WH008,GCash,Completed
ORD1000096,CUST100041,08/30/2025,WH002,Bank Transfer,Completed
ORD1000097,CUST100663,06/10/2025,WH007,,Completed
ORD1000098,CUST100519,03/24/2025,WH004,Bank Transfer,Completed
ORD1000099,CUST100251,03/19/2025,WH003,Cash,Completed
ORD1000100,CUST102510,02/20/2024,WH003,GCash,Completed
ORD1000101,CUST100584,10/27/2024,WH007,,Completed
ORD1000102,CUST103156,09/21/2025,WH002,Bank Transfer,Completed
ORD1000103,CUST102617,07/30/2024,WH004,,Completed
ORD1000104,CUST100999,02/10/2024,WH008,GCash,Completed
ORD1000105,CUST100944,09/04/2025,WH004,Bank Transfer,Pending
ORD1000106,CUST101340,01/22/2024,WH002,Cash,Completed
ORD1000107,CUST101889,05/17/2025,WH008,GCash,Completed
ORD1000108,CUST102384,08/31/2025,WH001,Bank Transfer,Completed
ORD1000109,CUST101570,06/28/2025,WH008,GCash,Completed
ORD1000110,CUST102818,01/10/2024,WH004,,Returned
ORD1000111,CUST102692,10/16/2025,WH006,Cash,Completed
ORD1000112,CUST100911,03/05/2024,WH006,Credit Card,Completed
ORD1000113,CUST101387,09/13/2025,WH003,GCash,Completed
ORD1000114,CUST102892,01/13/2024,WH003,gcash,Completed
ORD1000115,CUST102540,12/24/2024,WH002,Debit Card,Completed
ORD1000116,CUST103405,10/04/2025,WH002,Debit Card,Completed
ORD1000117,CUST100340,07/11/2024,WH001,GCash,Completed
ORD1000118,CUST100308,02/02/2024,WH001,Debit Card,Completed
ORD1000119,CUST101770,03/05/2024,WH004,GCash,Completed
ORD1000120,CUST100786,09/29/2024,WH007,,Completed
ORD1000121,CUST102591,09/20/2024,WH004,gcash,Completed
ORD1000122,CUST102542,06/07/2024,WH006,,Completed
ORD1000123,CUST101557,11/29/2024,WH003,Debit Card,Completed
ORD1000124,CUST100129,09/06/2024,WH006,Cash,Completed
ORD1000125,CUST101229,03/07/2025,WH005,Bank Transfer,Completed
ORD1000126,CUST100995,07/31/2024,WH006,Bank Transfer,Completed
ORD1000127,CUST101386,08/17/2024,WH006,Credit Card,Completed
ORD1000128,CUST102956,10/10/2025,WH007,Credit Card,Completed
ORD1000129,CUST102588,07/26/2025,WH005,Cash,Completed
ORD1000130,CUST102386,07/15/2025,WH003,GCash,Completed
ORD1000131,CUST100052,10/04/2024,WH001,Debit Card,Completed
ORD1000132,CUST102243,10/08/2025,WH007,Bank Transfer,Completed
ORD1000133,CUST101821,09/05/2024,WH002,,Completed
ORD1000134,CUST102142,06/09/2025,WH001,Credit Card,Completed
ORD1000135,CUST101426,07/02/2025,WH004,GCash,Completed
ORD1000136,CUST101757,08/29/2024,WH008,Debit Card,Completed
ORD1000137,CUST101176,03/25/2025,WH003,Credit Card,Completed
ORD1000138,CUST102684,05/15/2024,WH005,,Completed
ORD1000139,CUST101401,10/07/2024,WH004,Bank Transfer,Completed
ORD1000140,CUST103029,01/21/2025,WH007,Debit Card,Completed
ORD1000141,CUST103239,05/01/2025,WH007,Credit Card,Pending
ORD1000142,CUST102785,09/17/2024,WH004,Cash,Completed
ORD1000143,CUST101839,06/03/2025,WH004,gcash,Completed
ORD1000144,CUST101690,04/14/2025,WH004,Debit Card,Completed
ORD1000145,CUST101824,09/22/2025,WH006,Cash,Completed
ORD1000146,CUST102725,01/29/2024,WH006,GCash,Completed
ORD1000147,CUST103018,01/09/2025,WH003,Debit Card,Completed
ORD1000148,CUST102644,06/04/2025,WH003,Bank Transfer,Completed
ORD1000149,CUST102507,11/04/2024,WH006,GCash,Completed
ORD1000150,CUST101596,08/06/2024,WH005,Debit Card,Completed
ORD1000151,CUST100896,02/28/2025,WH006,Cash,Completed
ORD1000152,CUST101170,12/03/2024,WH001,Cash,Completed
ORD1000153,CUST103492,11/09/2024,WH008,gcash,Completed
ORD1000154,CUST101436,12/15/2025,WH007,Bank Transfer,Cancelled
ORD1000155,CUST101688,11/04/2024,WH008,Credit Card,Completed
ORD1000156,CUST101727,06/06/2024,WH002,Debit Card,Pending
ORD1000157,CUST101229,01/13/2024,WH005,Cash,Completed
ORD1000158,CUST100515,03/26/2024,WH005,Cash,Completed
ORD1000159,CUST100768,01/26/2025,WH003,Bank Transfer,Pending
ORD1000160,CUST100765,06/02/2024,WH007,Bank Transfer,Cancelled
ORD1000161,CUST100697,03/20/2024,WH001,Bank Transfer,Completed
ORD1000162,CUST100357,09/13/2024,WH006,,Completed
ORD1000163,CUST103270,06/24/2024,WH005,gcash,Pending
ORD1000164,CUST100254,01/26/2025,WH004,,Completed
ORD1000165,CUST100412,02/11/2024,WH007,Credit Card,Completed
ORD1000166,CUST101982,12/16/2025,WH005,gcash,Pending
ORD1000167,CUST103218,10/27/2025,WH001,Debit Card,Completed
ORD1000168,CUST102444,09/27/2025,WH004,Credit Card,Returned
ORD1000169,CUST100459,05/05/2024,WH008,Debit Card,Completed
ORD1000170,CUST102148,2024/99/99,WH001,,Completed
ORD1000171,CUST102079,01/10/2024,WH001,Bank Transfer,Completed
ORD1000172,CUST102545,06/09/2025,WH007,Credit Card,Completed
ORD1000173,CUST101021,08/05/2025,WH001,GCash,Returned
ORD1000174,CUST101423,07/26/2024,WH008,Bank Transfer,Completed
ORD1000175,CUST103383,12/04/2024,WH005,Bank Transfer,Completed
ORD1000176,CUST102798,11/08/2025,WH006,,Completed
ORD1000177,CUST100901,05/24/2024,WH006,Bank Transfer,Completed
ORD1000178,CUST102617,01/28/2025,WH008,,Returned
ORD1000179,CUST103009,08/09/2024,WH008,Bank Transfer,Pending
ORD1000180,CUST102489,04/28/2024,WH007,GCash,Completed
ORD1000181,CUST102197,05/12/2025,WH006,Cash,Cancelled
ORD1000182,CUST102682,11/24/2025,WH003,,Completed
ORD1000183,CUST101887,02/16/2025,WH003,GCash,Completed
ORD1000184,CUST100811,01/04/2025,WH003,Cash,Completed
ORD1000185,CUST101704,01/24/2025,WH008,GCash,Completed
ORD1000186,CUST101994,04/23/2024,WH004,Cash,Pending
ORD1000187,CUST102665,05/26/2024,WH001,Credit Card,Completed
ORD1000188,CUST102713,06/20/2025,WH001,Bank Transfer,Completed
ORD1000189,CUST100460,03/03/2025,WH005,Bank Transfer,Completed
ORD1000190,CUST100347,06/19/2024,WH001,,Returned
ORD1000191,CUST100557,01/15/2024,WH006,Credit Card,Cancelled
ORD1000192,CUST100865,05/16/2024,WH001,Credit Card,Completed
ORD1000193,CUST100971,01/03/2025,WH006,Debit Card,Completed
ORD1000194,CUST101718,07/14/2024,WH005,Debit Card,Completed
ORD1000195,CUST102501,06/17/2025,WH006,Credit Card,Completed
ORD1000196,CUST101450,02/26/2025,WH005,,Completed
ORD1000197,CUST101578,04/17/2024,WH004,Bank Transfer,Completed
ORD1000198,CUST103200,08/01/2024,WH001,,Completed
ORD1000199,CUST102633,01/27/2024,WH005,gcash,Completed
ORD1000200,CUST102628,01/30/2024,WH002,Debit Card,Pending
ORD1000201,CUST102627,07/03/2025,WH008,Credit Card,Completed
ORD1000202,CUST100143,10/09/2024,WH006,,Completed
ORD1000203,CUST102567,10/05/2025,WH008,Cash,Completed
ORD1000204,CUST101629,06/20/2024,WH005,GCash,Pending
ORD1000205,CUST102207,08/22/2024,WH008,Cash,Completed
ORD1000206,CUST102669,01/08/2025,WH007,Debit Card,Returned
ORD1000207,CUST100179,07/24/2024,WH007,,Completed
ORD1000208,CUST102342,12/01/2024,WH002,gcash,Completed
ORD1000209,CUST103092,03/30/2024,WH007,Cash,Completed
ORD1000210,CUST101882,02/27/2024,WH005,Credit Card,Completed
ORD1000211,CUST102301,09/20/2025,WH007,Credit Card,Cancelled
ORD1000212,CUST100299,06/28/2024,WH002,gcash,Completed
ORD1000213,CUST102641,03/15/2024,WH003,GCash,Completed
ORD1000214,CUST103203,07/24/2024,WH008,Debit Card,Completed
ORD1000215,CUST101239,11/02/2024,WH004,gcash,Completed
ORD1000216,CUST101453,12/19/2024,WH008,GCash,Completed
ORD1000217,CUST101812,07/13/2025,WH002,gcash,Completed
ORD1000218,CUST100508,08/23/2025,WH003,Bank Transfer,Completed
ORD1000219,CUST100318,08/01/2024,WH004,Credit Card,Completed
ORD1000220,CUST100296,06/08/2024,WH002,,Pending
ORD1000221,CUST100557,03/31/2024,WH004,Cash,Completed
ORD1000222,CUST102747,04/25/2024,WH002,Cash,Pending
ORD1000223,CUST102204,01/21/2024,WH002,Cash,Completed
ORD1000224,CUST102145,01/01/2024,WH002,Bank Transfer,Completed
ORD1000225,CUST100264,11/01/2024,WH003,Cash,Completed
ORD1000226,CUST100881,03/18/2025,WH006,,Completed
ORD1000227,CUST103276,08/21/2025,WH004,Bank Transfer,Completed
ORD1000228,CUST101866,08/25/2024,WH002,Bank Transfer,Completed
ORD1000229,CUST100282,07/30/2024,WH008,Debit Card,Pending
ORD1000230,CUST103313,05/04/2025,WH002,Credit Card,Completed
ORD1000231,CUST101980,04/09/2025,WH006,Debit Card,Pending
ORD1000232,CUST101726,05/18/2025,WH004,Bank Transfer,Completed
ORD1000233,CUST102088,05/04/2024,WH001,Credit Card,Completed
ORD1000234,CUST101368,02/02/2024,WH007,Bank Transfer,Completed
ORD1000235,CUST102397,02/01/2025,WH001,Debit Card,Completed
ORD1000236,CUST101078,11/01/2024,WH002,Credit Card,Completed
ORD1000237,CUST101241,07/07/2024,WH001,Debit Card,Completed
ORD1000238,CUST100638,12/07/2025,WH002,,Completed
ORD1000239,CUST100686,04/26/2024,WH003,Debit Card,Completed
ORD1000240,CUST103187,07/19/2024,WH001,Credit Card,Pending
ORD1000241,CUST100705,07/01/2025,WH002,Bank Transfer,Completed
ORD1000242,CUST100601,01/21/2025,WH001,,Completed
ORD1000243,CUST101666,06/17/2024,WH002,Credit Card,Completed
ORD1000244,CUST100192,01/27/2025,WH002,GCash,Completed
ORD1000245,CUST101436,11/02/2024,WH003,Bank Transfer,Completed
ORD1000246,CUST100500,07/09/2024,WH007,Cash,Completed
ORD1000247,CUST100903,05/04/2025,WH001,Credit Card,Completed
ORD1000248,CUST100639,07/22/2025,WH008,gcash,Completed
ORD1000249,CUST103032,02/20/2024,WH005,Debit Card,Pending
ORD1000250,CUST101487,01/03/2024,WH002,GCash,Cancelled
ORD1000251,CUST100007,10/21/2025,WH002,GCash,Completed
ORD1000252,CUST103184,06/14/2024,WH002,Bank Transfer,Completed
ORD1000253,CUST103494,03/03/2024,WH007,GCash,Completed
ORD1000254,CUST100472,03/08/2025,WH002,Debit Card,Cancelled
ORD1000255,CUST100349,08/23/2024,WH005,Debit Card,Completed
ORD1000256,CUST100512,10/31/2025,WH001,Cash,Cancelled
ORD1000257,CUST100947,12/02/2025,WH004,Cash,Completed
ORD1000258,CUST101531,01/07/2024,WH007,Credit Card,Completed
ORD1000259,CUST102777,05/19/2024,WH007,,Completed
ORD1000260,CUST103164,03/14/2025,WH005,GCash,Completed
ORD1000261,CUST103004,09/02/2024,WH003,,Cancelled
ORD1000262,CUST103245,01/03/2024,WH003,Cash,Completed
ORD1000263,CUST100192,12/03/2024,WH003,,Completed
ORD1000264,CUST103328,03/30/2025,WH002,gcash,Completed
ORD1000265,CUST102291,12/23/2025,WH006,GCash,Completed
ORD1000266,CUST100445,10/27/2024,WH002,GCash,Completed
ORD1000267,CUST103478,07/30/2025,WH008,,Completed
ORD1000268,CUST102470,11/13/2024,WH001,Credit Card,Completed
ORD1000269,CUST102634,05/05/2025,WH005,Debit Card,Completed
ORD1000270,CUST102266,12/07/2025,WH006,Bank Transfer,Completed
ORD1000271,CUST102743,08/16/2025,WH006,Cash,Completed
ORD1000272,CUST100107,05/13/2025,WH006,gcash,Completed
ORD1000273,CUST101948,08/27/2025,WH004,gcash,Completed
ORD1000274,CUST102354,05/23/2024,WH002,GCash,Completed
ORD1000275,CUST103019,08/04/2025,WH005,GCash,Completed
ORD1000276,CUST102440,12/29/2025,WH002,Bank Transfer,Completed
ORD1000277,CUST100869,12/11/2025,WH002,,Completed
ORD1000278,CUST102299,07/06/2024,WH007,gcash,Completed
ORD1000279,CUST100865,11/08/2024,WH002,Bank Transfer,Completed
ORD1000280,CUST100755,05/15/2025,WH005,Cash,Completed
ORD1000281,CUST102163,02/23/2024,WH003,Credit Card,Completed
ORD1000282,CUST101164,05/11/2025,WH002,GCash,Pending
ORD1000283,CUST101163,07/20/2024,WH008,Bank Transfer,Completed
ORD1000284,CUST101939,09/12/2025,WH006,Credit Card,Completed
ORD1000285,CUST100680,03/24/2025,WH004,Bank Transfer,Completed
ORD1000286,CUST100485,10/18/2024,WH007,Bank Transfer,Returned
ORD1000287,CUST101529,02/06/2024,WH003,gcash,Completed
ORD1000288,CUST100556,05/23/2025,WH003,gcash,Completed
ORD1000289,CUST102575,01/26/2025,WH001,Credit Card,Cancelled
ORD1000290,CUST102446,04/01/2025,WH007,gcash,Completed
ORD1000291,CUST103304,01/13/2024,WH008,Credit Card,Completed
ORD1000292,CUST100580,11/14/2024,WH007,GCash,Completed
ORD1000293,CUST102618,07/05/2025,WH001,,Completed
ORD1000294,CUST100059,10/30/2025,WH003,Credit Card,Completed
ORD1000295,CUST102165,09/13/2024,WH008,Bank Transfer,Completed
ORD1000296,CUST100648,07/02/2024,WH008,gcash,Cancelled
ORD1000297,CUST102528,05/30/2025,WH002,gcash,Completed
ORD1000298,CUST100265,06/12/2024,WH004,Bank Transfer,Completed
ORD1000299,CUST100147,10/10/2025,WH005,gcash,Completed
ORD1000300,CUST100988,04/05/2025,WH001,Debit Card,Completed
ORD1000301,CUST101226,11/06/2025,WH004,Credit Card,Completed
ORD1000302,CUST102662,05/18/2024,WH007,Debit Card,Completed
ORD1000303,CUST100671,03/02/2024,WH007,gcash,Completed
ORD1000304,CUST102752,08/28/2025,WH002,,Completed
ORD1000305,CUST101732,07/29/2024,WH005,,Completed
ORD1000306,CUST100250,09/04/2024,WH002,Bank Transfer,Completed
ORD1000307,CUST103337,07/14/2024,WH006,Bank Transfer,Completed
ORD1000308,CUST101996,11/03/2024,WH006,Cash,Completed
ORD1000309,CUST102978,10/18/2025,WH006,gcash,Completed
ORD1000310,CUST100309,05/13/2025,WH005,Credit Card,Completed
ORD1000311,CUST101581,02/22/2024,WH003,Debit Card,Completed
ORD1000312,CUST100655,10/08/2025,WH001,Bank Transfer,Completed
ORD1000313,CUST101804,11/18/2024,WH007,Credit Card,Completed
ORD1000314,CUST102745,05/18/2025,WH007,Bank Transfer,Completed
ORD1000315,CUST102973,09/23/2024,WH004,Cash,Returned
ORD1000316,CUST103403,03/09/2024,WH001,Credit Card,Completed
ORD1000317,CUST100919,11/02/2024,WH005,GCash,Completed
ORD1000318,CUST100951,09/03/2024,WH002,GCash,Completed
ORD1000319,CUST102684,01/14/2024,WH008,Debit Card,Completed
ORD1000320,CUST102719,07/01/2025,WH006,Credit Card,Completed
ORD1000321,CUST101155,09/21/2025,WH008,GCash,Completed
ORD1000322,CUST101198,10/24/2025,WH007,gcash,Completed
ORD1000323,CUST100684,06/27/2024,WH008,GCash,Completed
ORD1000324,CUST102746,04/07/2025,WH004,Cash,Completed
ORD1000325,CUST100390,01/23/2025,WH008,gcash,Pending
ORD1000326,CUST101996,03/11/2025,WH004,Credit Card,Returned
ORD1000327,CUST101351,08/05/2025,WH004,gcash,Returned
ORD1000328,CUST101913,10/03/2024,WH008,Cash,Completed
ORD1000329,CUST103233,07/19/2024,WH003,Cash,Completed
ORD1000330,CUST102831,12/14/2024,WH003,,Completed
ORD1000331,CUST103166,04/30/2025,WH005,Credit Card,Completed
ORD1000332,CUST102437,11/11/2024,WH005,Credit Card,Completed
ORD1000333,CUST101500,08/09/2024,WH005,Credit Card,Completed
ORD1000334,CUST103398,02/10/2024,WH006,GCash,Completed
ORD1000335,CUST101963,02/22/2025,WH004,Debit Card,Completed
ORD1000336,CUST101270,01/16/2024,WH008,Credit Card,Cancelled
ORD1000337,CUST102997,12/09/2024,WH008,gcash,Completed
ORD1000338,CUST103343,03/26/2025,WH007,Cash,Completed
ORD1000339,CUST101673,12/02/2024,WH003,gcash,Completed
ORD1000340,CUST102897,01/07/2025,WH001,Cash,Completed
ORD1000341,CUST101724,07/21/2024,WH001,Debit Card,Completed
ORD1000342,CUST101728,06/27/2024,WH007,Cash,Completed
ORD1000343,CUST101851,09/08/2025,WH002,Credit Card,Completed
ORD1000344,CUST101753,10/13/2025,WH005,GCash,Completed
ORD1000345,CUST103125,04/27/2024,WH004,Cash,Completed
ORD1000346,CUST103157,05/30/2024,WH007,GCash,Completed
ORD1000347,CUST102776,09/17/2024,WH007,Debit Card,Completed
ORD1000348,CUST102057,05/26/2025,WH001,Credit Card,Completed
ORD1000349,CUST100396,02/15/2024,WH004,Debit Card,Completed
ORD1000350,CUST101183,07/29/2025,WH008,,Completed
ORD1000351,CUST100496,01/06/2024,WH004,gcash,Completed
ORD1000352,CUST100145,09/05/2025,WH007,GCash,Completed
ORD1000353,CUST102214,01/30/2024,WH006,Credit Card,Completed
ORD1000354,CUST101049,09/04/2025,WH007,Bank Transfer,Completed
ORD1000355,CUST100275,11/19/2025,WH001,GCash,Completed
ORD1000356,CUST100761,08/02/2025,WH008,GCash,Completed
ORD1000357,CUST100232,12/19/2025,WH001,,Completed
ORD1000358,CUST100452,11/30/2024,WH001,Credit Card,Completed
ORD1000359,CUST101741,04/13/2025,WH002,,Completed
ORD1000360,CUST102355,03/31/2025,WH007,Credit Card,Completed
ORD1000361,CUST102759,01/09/2024,WH002,gcash,Completed
ORD1000362,CUST101385,09/18/2025,WH006,Credit Card,Completed
ORD1000363,CUST102593,05/29/2025,WH003,Cash,Returned
ORD1000364,CUST100331,11/02/2024,WH006,gcash,Completed
ORD1000365,CUST100450,06/05/2024,WH006,gcash,Completed
ORD1000366,CUST101145,05/04/2025,WH004,Bank Transfer,Returned
ORD1000367,CUST102230,12/17/2025,WH008,Cash,Pending
ORD1000368,CUST100492,04/26/2024,WH003,Credit Card,Completed
ORD1000369,CUST100006,11/02/2025,WH001,Debit Card,Completed
ORD1000370,CUST102096,02/16/2025,WH005,,Completed
ORD1000371,CUST101427,07/29/2025,WH001,,Completed
ORD1000372,CUST101495,04/12/2024,WH003,,Completed
ORD1000373,CUST101472,03/17/2024,WH005,Bank Transfer,Completed
ORD1000374,CUST103270,04/27/2025,WH008,Credit Card,Cancelled
ORD1000375,CUST100404,07/25/2024,WH006,Bank Transfer,Completed
ORD1000376,CUST102131,10/02/2024,WH005,Debit Card,Completed
ORD1000377,CUST102682,03/30/2025,WH005,Debit Card,Completed
ORD1000378,CUST102679,06/15/2024,WH003,,Pending
ORD1000379,CUST100299,09/06/2024,WH007,Credit Card,Completed
ORD1000380,CUST101173,09/20/2024,WH001,,Pending
ORD1000381,CUST103362,09/14/2024,WH002,Bank Transfer,Completed
ORD1000382,CUST102641,05/27/2025,WH002,Debit Card,Completed
ORD1000383,CUST103231,04/20/2024,WH005,Debit Card,Completed
ORD1000384,CUST102572,10/24/2025,WH003,Bank Transfer,Completed
ORD1000385,CUST100242,06/06/2025,WH001,,Completed
ORD1000386,CUST103469,01/09/2024,WH002,,Completed
ORD1000387,CUST102923,02/16/2025,WH006,Debit Card,Pending
ORD1000388,CUST102315,05/02/2024,WH005,,Completed
ORD1000389,CUST100004,04/21/2024,WH005,Debit Card,Completed
ORD1000390,CUST103207,05/30/2025,WH006,gcash,Completed
ORD1000391,CUST103118,06/30/2024,WH005,gcash,Completed
ORD1000392,CUST103035,02/19/2025,WH008,Debit Card,Completed
ORD1000393,CUST101045,07/26/2024,WH005,Debit Card,Cancelled
ORD1000394,CUST103216,08/21/2024,WH006,GCash,Completed
ORD1000395,CUST100029,05/04/2025,WH003,Cash,Completed
ORD1000396,CUST102007,04/20/2025,WH005,gcash,Completed
ORD1000397,CUST102691,01/16/2024,WH002,Cash,Cancelled
ORD1000398,CUST100784,09/25/2025,WH002,Credit Card,Pending
ORD1000399,CUST103387,03/04/2025,WH008,gcash,Completed
ORD1000400,CUST102048,07/07/2024,WH007,gcash,Completed
ORD1000401,CUST100572,03/23/2024,WH004,Bank Transfer,Completed
ORD1000402,CUST103226,12/20/2024,WH003,GCash,Pending
ORD1000403,CUST100443,05/22/2025,WH005,GCash,Pending
ORD1000404,CUST103406,01/16/2024,WH006,gcash,Completed
ORD1000405,CUST103429,07/30/2024,WH001,,Completed
ORD1000406,CUST103312,11/21/2025,WH006,Bank Transfer,Completed
ORD1000407,CUST101128,03/14/2024,WH001,GCash,Returned
ORD1000408,CUST101544,08/08/2025,WH001,,Completed
ORD1000409,CUST102653,06/22/2024,WH004,Credit Card,Completed
ORD1000410,CUST102816,01/03/2025,WH006,Debit Card,Completed
ORD1000411,CUST100732,07/11/2025,WH003,Cash,Completed
ORD1000412,CUST101710,12/25/2025,WH008,Bank Transfer,Completed
ORD1000413,CUST101346,03/16/2025,WH004,gcash,Completed
ORD1000414,CUST102422,06/09/2024,WH006,gcash,Cancelled
ORD1000415,CUST102706,02/29/2024,WH005,Bank Transfer,Completed
ORD1000416,CUST101511,06/27/2025,WH004,Debit Card,Completed
ORD1000417,CUST103122,02/26/2025,WH003,Credit Card,Completed
ORD1000418,CUST101059,07/15/2025,WH004,gcash,Completed
ORD1000419,CUST102648,12/21/2025,WH003,Cash,Completed
ORD1000420,CUST101547,08/29/2025,WH002,gcash,Completed
ORD1000421,CUST100371,01/01/2025,WH006,Credit Card,Completed
ORD1000422,CUST101075,05/15/2025,WH002,Bank Transfer,Cancelled
ORD1000423,CUST102933,04/01/2025,WH001,Credit Card,Completed
