line_id,order_id,prd_id,quantity,unit_price,discount_pct
LINE0000041,ORD1000029,SKU10233,4,4206.37,0.15
LINE0000042,ORD1000030,SKU10008,1,4068.03,0.15
LINE0000043,ORD1000030,SKU10420,6,589.8,0.05
LINE0000044,ORD1000031,SKU10320,7,1827.85,0.15
LINE0000045,ORD1000032,SKU10574,6,1648.5,0.1
LINE0000046,ORD1000032,SKU10547,5,1918.87,0.1
LINE0000047,ORD1000033,SKU10326,4,1834.17,0
LINE0000048,ORD1000034,SKU10309,1,650.96,0.15
LINE0000049,ORD1000034,SKU10454,3,2725.11,0.1
LINE0000050,ORD1000035,SKU10476,4,1375.63,0.15
LINE0000051,ORD1000035,SKU10236,3,1816.9,0.15
LINE0000052,ORD1000036,SKU10251,5,131.95,0.1
LINE0000053,ORD1000036,SKU10059,3,2149.4,0
LINE0000054,ORD1000037,SKU10112,2,1109.1,0.15
LINE0000055,ORD1000037,SKU10055,3,1682.38,0.1
LINE0000056,ORD1000038,SKU10250,2,3375.14,0
LINE0000057,ORD1000039,SKU10558,7,422.84,0.05
LINE0000058,ORD1000040,SKU10514,1,859.68,0.15
LINE0000059,ORD1000040,SKU10326,5,1557.89,0.05
LINE0000060,ORD1000041,SKU10276,5,87.21,0.05
LINE0000061,ORD1000041,SKU10440,4,638.25,0.15
LINE0000062,ORD1000042,SKU10194,3,2073.79,0.15
LINE0000063,ORD1000042,SKU10009,4,399.06,0
LINE0000064,ORD1000043,SKU10059,2,2450.88,0
LINE0000065,ORD1000044,SKU10361,4,1526.39,0
LINE0000066,ORD1000044,SKU10295,3,3748.28,0.15
LINE0000067,ORD1000045,SKU10434,6,2110.89,0.1
LINE0000068,ORD1000045,SKU10005,6,2357.54,0.15
LINE0000069,ORD1000046,SKU10204,4,1749.26,0.1
LINE0000070,ORD1000046,SKU10022,1,654.15,0.15
LINE0000071,ORD1000047,SKU10125,5,3760.56,0.15
LINE0000072,ORD1000047,SKU10461,1,2306.39,0.05
LINE0000073,ORD1000048,SKU10551,3,2018.41,0.05
LINE0000074,ORD1000049,SKU10262,1,2056.74,0.05
LINE0000075,ORD1000050,SKU10204,7,1849.45,0.15
LINE0000076,ORD1000051,SKU10599,2,2242.14,0.15
LINE0000077,ORD1000052,SKU10483,1,322.28,0.15
LINE0000078,ORD1000053,SKU10237,5,679.88,0.1
LINE0000079,ORD1000054,SKU10394,7,967.42,0
LINE0000080,ORD1000054,SKU10574,7,1714.94,0.05
LINE0000081,ORD1000055,SKU10176,4,1251.42,0
LINE0000082,ORD1000056,SKU10418,2,2492.45,0.05
LINE0000083,ORD1000057,SKU10031,1,3595.32,0
LINE0000084,ORD1000057,SKU10112,3,1158.35,0.1
LINE0000085,ORD1000058,SKU10044,6,93.06,0.15
LINE0000086,ORD1000059,SKU10589,3,1665.04,0.1
LINE0000087,ORD1000060,SKU10223,3,217.04,0.05
LINE0000088,ORD1000061,SKU10319,1,1348.66,0.05
LINE0000089,ORD1000062,SKU10178,4,83.36,0
LINE0000090,ORD1000062,SKU10592,3,2546.4,0.1
LINE0000091,ORD1000062,SKU10040,6,421.97,0.05
LINE0000092,ORD1000063,SKU10600,4,1824.27,0.15
LINE0000093,ORD1000064,SKU10066,2,776.88,0.15
LINE0000094,ORD1000064,SKU10219,4,146.38,0.1
LINE0000095,ORD1000065,SKU10497,2,1074.55,0.15
LINE0000096,ORD1000066,SKU10082,5,774.59,0.15
LINE0000097,ORD1000066,SKU10475,3,2736.07,0.1
LINE0000098,ORD1000067,SKU10531,2,975.26,0.15
LINE0000099,ORD1000067,SKU10282,1,270.42,0.1
LINE0000100,ORD1000067,SKU10453,3,3148.02,0
LINE0000101,ORD1000068,SKU10042,2,2015.52,0.05
LINE0000102,ORD1000069,SKU10586,1,915.37,0.05
LINE0000103,ORD1000070,SKU10263,5,2789.8,0
LINE0000104,ORD1000070,SKU10443,4,1368.87,0.15
LINE0000105,ORD1000071,SKU10316,6,1282.21,0.15
LINE0000106,ORD1000071,SKU10058,2,3176.42,0.1
LINE0000107,ORD1000072,SKU10280,1,788.14,0.05
LINE0000108,ORD1000073,SKU10142,5,1473.24,0.05
LINE0000109,ORD1000073,SKU10341,1,2059.13,0
LINE0000110,ORD1000073,SKU10331,4,1694.83,0.15
LINE0000111,ORD1000074,SKU10302,2,1387.26,0
LINE0000112,ORD1000075,SKU10122,1,2803.44,0.15
LINE0000113,ORD1000076,SKU10448,3,738.65,0
LINE0000114,ORD1000077,SKU10105,6,889.16,0.15
LINE0000115,ORD1000078,SKU10066,2,915.27,0.15
LINE0000116,ORD1000079,SKU10201,5,2072.69,0
LINE0000117,ORD1000079,SKU10568,1,1590.03,0.05
LINE0000118,ORD1000080,SKU10274,7,2448,0.1
LINE0000119,ORD1000081,SKU10200,1,362.69,0
LINE0000120,ORD1000082,SKU10303,6,2975.47,0.15
LINE0000121,ORD1000083,SKU10395,1,1157.66,0.05
LINE0000122,ORD1000083,SKU10148,5,3438.62,0
LINE0000123,ORD1000084,SKU10306,2,906.04,0.1
LINE0000124,ORD1000085,SKU10414,3,193.02,0.1
LINE0000125,ORD1000086,SKU10427,3,27.47,0.15
LINE0000126,ORD1000086,SKU10331,4,1387.44,0.1
LINE0000127,ORD1000086,SKU10571,3,4265.72,0
LINE0000128,ORD1000087,SKU10091,2,1849.02,0.05
LINE0000129,ORD1000087,SKU10580,1,3811.7,0.15
LINE0000130,ORD1000087,SKU10455,7,4246.44,0.05
LINE0000131,ORD1000088,SKU10425,7,731.51,0.15
LINE0000132,ORD1000088,SKU10190,1,2660.93,0.15
LINE0000133,ORD1000089,SKU10583,2,46.15,0.05
LINE0000134,ORD1000090,SKU10152,4,621.95,0.1
LINE0000135,ORD1000091,SKU10439,7,1230.15,0
LINE0000136,ORD1000091,SKU10182,4,662.15,0.15
LINE0000137,ORD1000092,SKU10268,1,3098.09,0.15
LINE0000138,ORD1000093,SKU10269,4,3291.96,0.1
LINE0000139,ORD1000094,SKU10592,6,2575.37,0.1
LINE0000140,ORD1000095,SKU10189,2,1557.15,0
LINE0000141,ORD1000096,SKU10268,7,2775.17,0.1
LINE0000142,ORD1000097,SKU10555,5,1834.91,0.15
LINE0000143,ORD1000097,SKU10040,3,481.19,0.1
LINE0000144,ORD1000098,SKU10296,5,1542.23,0.1
LINE0000145,ORD1000098,SKU10491,6,978.71,0.05
LINE0000146,ORD1000099,SKU10429,7,3781.84,0.1
LINE0000147,ORD1000100,SKU10237,5,594.7,0.1
LINE0000148,ORD1000100,SKU10287,3,3282.87,0
LINE0000149,ORD1000101,SKU10206,1,1464.65,0.05
LINE0000150,ORD1000101,SKU10092,3,2996.31,0.1
LINE0000151,ORD1000102,SKU10006,6,1303.59,0
LINE0000152,ORD1000102,SKU10483,3,278.17,0.1
LINE0000153,ORD1000103,SKU10522,6,340.75,0.05
LINE0000154,ORD1000104,SKU10197,1,952.59,0.15
LINE0000155,ORD1000104,SKU10571,6,3717.45,0.1
LINE0000156,ORD1000105,SKU10184,3,1723.87,0.15
LINE0000157,ORD1000105,SKU10302,5,1392.49,0.05
LINE0000158,ORD1000106,SKU10144,1,1033.11,0.15
LINE0000159,ORD1000106,SKU10500,2,1259.03,0.15
LINE0000160,ORD1000107,SKU10252,3,3235.71,0.15
LINE0000161,ORD1000107,SKU10358,1,1940.64,0
LINE0000162,ORD1000108,SKU10338,3,2122.72,0
LINE0000163,ORD1000109,SKU10234,6,1114.47,0.05
LINE0000164,ORD1000109,SKU10578,2,4041.54,0.15
LINE0000165,ORD1000109,SKU10238,3,2744.48,0.15
LINE0000166,ORD1000110,SKU10482,4,206.42,0.05
LINE0000167,ORD1000110,SKU10456,6,1220.38,0.1
LINE0000168,ORD1000111,SKU10465,2,1460.23,0.05
LINE0000169,ORD1000111,SKU10236,1,1795.21,0.1
LINE0000170,ORD1000112,SKU10409,7,1680.11,0.1
LINE0000171,ORD1000113,SKU10017,2,47.4,0
LINE0000172,ORD1000113,SKU10021,6,218.6,0
LINE0000173,ORD1000114,SKU10285,5,2604.88,0
LINE0000174,ORD1000114,SKU10045,6,2359.31,0
LINE0000175,ORD1000115,SKU10437,7,3694.99,0
LINE0000176,ORD1000116,SKU10536,1,3024.86,0.15
LINE0000177,ORD1000117,SKU10486,1,2459.94,0.1
LINE0000178,ORD1000118,SKU10024,7,4294.63,0.1
LINE0000179,ORD1000119,SKU10530,3,1150.46,0.1
LINE0000180,ORD1000119,SKU10092,7,2796.69,0.05
LINE0000181,ORD1000120,SKU10140,6,119.38,0.15
LINE0000182,ORD1000121,SKU10238,6,3201.77,0.1
LINE0000183,ORD1000122,SKU10545,2,1914.07,0.05
LINE0000184,ORD1000123,SKU10339,5,1445.51,0.15
LINE0000185,ORD1000124,SKU10500,2,1159.73,0.15
LINE0000186,ORD1000124,SKU10175,1,1514.9,0.15
LINE0000187,ORD1000125,SKU10173,6,523.86,0.15
LINE0000188,ORD1000126,SKU10495,6,207.07,0.15
LINE0000189,ORD1000127,SKU10452,4,2169.06,0.1
LINE0000190,ORD1000128,SKU10126,7,326.89,0.15
LINE0000191,ORD1000128,SKU10169,2,1421.79,0.15
LINE0000192,ORD1000129,SKU10180,3,2386.57,0.1
LINE0000193,ORD1000130,SKU10097,3,3189.39,0.15
LINE0000194,ORD1000130,SKU10181,5,1016.75,0.15
LINE0000195,ORD1000130,SKU10114,3,581.62,0.05
LINE0000196,ORD1000131,SKU10055,2,1613.15,0
LINE0000197,ORD1000132,SKU10198,6,3034.21,0.1
LINE0000198,ORD1000132,SKU10028,1,1999.98,0.15
LINE0000199,ORD1000133,SKU10299,1,407.57,0.1
LINE0000200,ORD1000134,SKU10476,2,1299.4,0.15
LINE0000201,ORD1000134,SKU10005,6,2476.46,0.15
LINE0000202,ORD1000134,SKU10600,7,2029.58,0.1
LINE0000203,ORD1000135,SKU10126,3,362.62,0
LINE0000204,ORD1000135,SKU10371,6,2621.27,0.05
LINE0000205,ORD1000136,SKU10585,1,974.5,0.05
LINE0000206,ORD1000137,SKU10252,5,3304.82,0.15
LINE0000207,ORD1000138,SKU10178,1,77.61,0
LINE0000208,ORD1000138,SKU10495,1,197.32,0.05
LINE0000209,ORD1000138,SKU10393,1,1393.05,0.1
LINE0000210,ORD1000139,SKU10409,5,1585.31,0.15
LINE0000211,ORD1000140,SKU10506,3,777.82,0.15
LINE0000212,ORD1000140,SKU10509,6,1421.76,0
LINE0000213,ORD1000141,SKU10369,3,3088.41,0.05
LINE0000214,ORD1000142,SKU10389,5,2276.38,0.15
LINE0000215,ORD1000143,SKU10338,7,1748.86,0.1
LINE0000216,ORD1000144,SKU10467,3,1589.52,0
LINE0000217,ORD1000145,SKU10002,6,38.59,0.05
LINE0000218,ORD1000145,SKU10342,1,816.74,0.15
LINE0000219,ORD1000146,SKU10323,3,2976.96,0.15
LINE0000220,ORD1000147,SKU10547,7,1907.93,0.05
LINE0000221,ORD1000147,SKU10579,7,1261.95,0.1
LINE0000222,ORD1000148,SKU10083,5,543.6,0.15
LINE0000223,ORD1000148,SKU10462,4,3350.27,0
LINE0000224,ORD1000149,SKU10394,1,969.88,0.1
LINE0000225,ORD1000150,SKU10244,3,3294.44,0
LINE0000226,ORD1000151,SKU10182,5,688.97,0.15
LINE0000227,ORD1000152,SKU10395,2,1224.94,0.15
LINE0000228,ORD1000153,SKU10455,6,3556.17,0.1
LINE0000229,ORD1000154,SKU10094,6,3698.37,0
LINE0000230,ORD1000155,SKU10472,1,1655.27,0.15
LINE0000231,ORD1000156,SKU10301,7,3486.27,0.1
LINE0000232,ORD1000157,SKU10367,3,2175.29,0.15
LINE0000233,ORD1000157,SKU10441,5,493.06,0.15
LINE0000234,ORD1000158,SKU10290,1,2278.17,0.1
LINE0000235,ORD1000158,SKU10328,6,2389.67,0.1
LINE0000236,ORD1000159,SKU10344,5,510.86,0.05
LINE0000237,ORD1000160,SKU10549,5,49.45,0.1
LINE0000238,ORD1000160,SKU10269,3,3013.25,0.1
LINE0000239,ORD1000161,SKU10438,7,602.42,0.1
LINE0000240,ORD1000161,SKU10113,1,1074.38,0.1
LINE0000241,ORD1000162,SKU10453,6,3246.63,0.15
LINE0000242,ORD1000163,SKU10381,3,1821.37,0
LINE0000243,ORD1000163,SKU10484,1,2822.76,0.05
LINE0000244,ORD1000163,SKU10430,7,2639.62,0.15
LINE0000245,ORD1000164,SKU10431,5,794.98,0
LINE0000246,ORD1000165,SKU10533,2,3035.59,0.15
LINE0000247,ORD1000166,SKU10462,2,2950.54,0.15
LINE0000248,ORD1000167,SKU10426,6,3850.91,0
LINE0000249,ORD1000168,SKU10023,3,3580.98,0
LINE0000250,ORD1000169,SKU10587,5,2108.41,0.15
LINE0000251,ORD1000170,SKU10020,2,2802.32,0
LINE0000252,ORD1000171,SKU10106,3,2438.73,0.1
LINE0000253,ORD1000172,SKU10085,2,3196.44,0.05
LINE0000254,ORD1000172,SKU10167,3,2634.23,0.1
LINE0000255,ORD1000173,SKU10093,6,907.44,0.15
LINE0000256,ORD1000174,SKU10251,5,146.64,0.1
LINE0000257,ORD1000174,SKU10311,7,1859.37,0.05
LINE0000258,ORD1000174,SKU10227,5,1474.08,0
LINE0000259,ORD1000175,SKU10340,3,3370.46,0.1
LINE0000260,ORD1000176,SKU10064,1,1715.61,0.05
LINE0000261,ORD1000177,SKU10307,3,2013.34,0.1
LINE0000262,ORD1000177,SKU10146,2,1219.89,0.05
LINE0000263,ORD1000178,SKU10117,1,2591.9,0.05
LINE0000264,ORD1000178,SKU10502,7,3415.71,0.05
LINE0000265,ORD1000178,SKU10338,1,1752.08,0
LINE0000266,ORD1000179,SKU10559,6,2628.02,0.1
LINE0000267,ORD1000180,SKU10381,7,1518.12,0.05
LINE0000268,ORD1000180,SKU10536,1,3342.07,0
LINE0000269,ORD1000181,SKU10039,5,1420.72,0.05
LINE0000270,ORD1000182,SKU10136,6,3706.33,0.05
LINE0000271,ORD1000182,SKU10351,6,2404.11,0.05
LINE0000272,ORD1000183,SKU10125,2,3096.9,0.15
LINE0000273,ORD1000183,SKU10057,6,2898.75,0
LINE0000274,ORD1000184,SKU10002,2,34.99,0.05
LINE0000275,ORD1000185,SKU10108,7,1418.51,0
LINE0000276,ORD1000186,SKU10094,6,3333.05,0.05
LINE0000277,ORD1000187,SKU10559,3,2869.18,0.15
LINE0000278,ORD1000188,SKU10334,3,151.25,0.05
LINE0000279,ORD1000188,SKU10430,2,2639.89,0
LINE0000280,ORD1000188,SKU10014,4,3396.1,0.15
LINE0000281,ORD1000189,SKU10488,1,369.15,0.15
LINE0000282,ORD1000189,SKU10108,5,1773.97,0.05
LINE0000283,ORD1000190,SKU10585,4,781.89,0.05
LINE0000284,ORD1000191,SKU10221,1,2536.65,0.05
LINE0000285,ORD1000191,SKU10179,5,1122.98,0
LINE0000286,ORD1000192,SKU10228,3,3024.2,0
LINE0000287,ORD1000193,SKU10282,2,310.61,0.1
LINE0000288,ORD1000194,SKU10128,5,1679.48,0.05
LINE0000289,ORD1000194,SKU10579,7,1170.63,0.1
LINE0000290,ORD1000195,SKU10361,1,1558.99,0.15
LINE0000291,ORD1000196,SKU10343,1,4143.41,0.05
LINE0000292,ORD1000196,SKU10074,5,1284.18,0.05
LINE0000293,ORD1000197,SKU10447,2,114.12,0
LINE0000294,ORD1000197,SKU10356,6,2119.74,0.1
LINE0000295,ORD1000198,SKU10551,2,2208.14,0
LINE0000296,ORD1000199,SKU10342,6,925.43,0.1
LINE0000297,ORD1000200,SKU10163,4,385.79,0.1
LINE0000298,ORD1000200,SKU10113,4,1136.32,0
LINE0000299,ORD1000201,SKU10576,4,2393.92,0.1
LINE0000300,ORD1000202,SKU10012,6,2356.11,0
LINE0000301,ORD1000203,SKU10132,4,1067.41,0.15
LINE0000302,ORD1000203,SKU10342,6,861.64,0
LINE0000303,ORD1000203,SKU10527,4,1586.88,0.15
LINE0000304,ORD1000204,SKU10292,1,3079.73,0.05
LINE0000305,ORD1000204,SKU10289,6,1063.48,0.1
LINE0000306,ORD1000205,SKU10213,7,3718.64,0.15
LINE0000307,ORD1000206,SKU10474,3,1939,0
LINE0000308,ORD1000206,SKU10471,7,2920.15,0.1
LINE0000309,ORD1000207,SKU10546,7,450.5,0
LINE0000310,ORD1000208,SKU10493,3,1005.61,0.1
LINE0000311,ORD1000208,SKU10555,3,1841.77,0.05
LINE0000312,ORD1000209,SKU10221,2,2975.61,0.1
LINE0000313,ORD1000210,SKU10248,1,2052.17,0.05
LINE0000314,ORD1000210,SKU10119,3,1013.61,0.1
LINE0000315,ORD1000211,SKU10390,1,1511.47,0.1
LINE0000316,ORD1000211,SKU10589,2,1746.39,0.1
LINE0000317,ORD1000212,SKU10426,3,4074.74,0
LINE0000318,ORD1000213,SKU10421,3,2372.8,0
LINE0000319,ORD1000214,SKU10314,2,390.09,0.15
LINE0000320,ORD1000215,SKU10197,7,1052.19,0.15
LINE0000321,ORD1000216,SKU10273,5,3426.03,0
LINE0000322,ORD1000216,SKU10294,3,1892.69,0.15
LINE0000323,ORD1000217,SKU10508,4,2472.91,0
LINE0000324,ORD1000218,SKU10449,5,2554.78,0.15
LINE0000325,ORD1000218,SKU10257,4,3049.79,0.05
LINE0000326,ORD1000218,SKU10470,2,3965.34,0.1
LINE0000327,ORD1000219,SKU10545,4,1970.66,0.15
LINE0000328,ORD1000220,SKU10114,2,498.67,0
LINE0000329,ORD1000220,SKU10012,7,2451.98,0
LINE0000330,ORD1000221,SKU10491,3,876.4,0.05
LINE0000331,ORD1000221,SKU10173,5,503.4,0
LINE0000332,ORD1000222,SKU10547,7,1957.65,0.15
LINE0000333,ORD1000222,SKU10338,3,2054.01,0
LINE0000334,ORD1000223,SKU10447,2,123.62,0.1
LINE0000335,ORD1000223,SKU10007,2,456.6,0
LINE0000336,ORD1000224,SKU10281,4,3471.56,0
LINE0000337,ORD1000224,SKU10201,7,2119.68,0.1
LINE0000338,ORD1000224,SKU10509,6,1462.71,0.15
LINE0000339,ORD1000225,SKU10567,5,1347.55,0.1
LINE0000340,ORD1000226,SKU10427,4,29.14,0.15
LINE0000341,ORD1000227,SKU10023,2,3127.4,0.15
LINE0000342,ORD1000227,SKU10107,1,2293.94,0
LINE0000343,ORD1000228,SKU10482,7,190.03,0.05
LINE0000344,ORD1000228,SKU10082,2,777.24,0
LINE0000345,ORD1000229,SKU10568,3,1767.87,0.1
LINE0000346,ORD1000229,SKU10598,5,3202.76,0.05
LINE0000347,ORD1000229,SKU10113,4,1078.04,0.1
LINE0000348,ORD1000230,SKU10573,1,2762.95,0
LINE0000349,ORD1000231,SKU10415,2,1692.56,0.1
LINE0000350,ORD1000231,SKU10094,2,4011.74,0
LINE0000351,ORD1000232,SKU10583,3,39.11,0.1
LINE0000352,ORD1000233,SKU10212,2,3583.07,0
LINE0000353,ORD1000233,SKU10413,1,296.65,0.05
LINE0000354,ORD1000233,SKU10044,1,84.44,0
LINE0000355,ORD1000234,SKU10126,5,380.43,0.15
LINE0000356,ORD1000234,SKU10225,5,2836.44,0.15
LINE0000357,ORD1000234,SKU10121,1,201.7,0.15
LINE0000358,ORD1000235,SKU10537,4,1345.93,0.1
LINE0000359,ORD1000235,SKU10440,4,627.49,0.15
LINE0000360,ORD1000236,SKU10557,5,566.54,0.1
LINE0000361,ORD1000236,SKU10271,1,2654.05,0.1
LINE0000362,ORD1000236,SKU10043,5,1438.14,0.1
LINE0000363,ORD1000237,SKU10006,1,1254.24,0.15
LINE0000364,ORD1000238,SKU10503,5,1000.73,0.1
LINE0000365,ORD1000238,SKU10358,4,2219.55,0.15
LINE0000366,ORD1000239,SKU10061,2,1166.32,0.05
LINE0000367,ORD1000239,SKU10532,1,605.8,0.15
LINE0000368,ORD1000240,SKU10363,4,1585.91,0.15
LINE0000369,ORD1000240,SKU10011,2,3777.01,0.1
LINE0000370,ORD1000240,SKU10415,7,1702.47,0.05
LINE0000371,ORD1000241,SKU10393,3,1291.04,0.1
LINE0000372,ORD1000241,SKU10403,5,99.06,0.1
LINE0000373,ORD1000242,SKU10042,5,2111.75,0.05
LINE0000374,ORD1000243,SKU10130,1,1425.35,0.05
LINE0000375,ORD1000243,SKU10518,5,2215.3,0.05
LINE0000376,ORD1000243,SKU10109,4,804.98,0.1
LINE0000377,ORD1000244,SKU10558,6,524.08,0
LINE0000378,ORD1000244,SKU10555,2,1546.3,0.05
LINE0000379,ORD1000245,SKU10429,5,3702.66,0.05
LINE0000380,ORD1000245,SKU10381,4,1735.6,0.1
LINE0000381,ORD1000246,SKU10002,3,34.96,0.15
LINE0000382,ORD1000247,SKU10130,1,1215.87,0.05
LINE0000383,ORD1000248,SKU10274,3,2686.69,0.1
LINE0000384,ORD1000248,SKU10095,7,1099.05,0.1
LINE0000385,ORD1000249,SKU10417,6,52.57,0.05
LINE0000386,ORD1000249,SKU10472,5,1459.07,0
LINE0000387,ORD1000250,SKU10056,4,699.7,0.1
LINE0000388,ORD1000251,SKU10099,4,3227.73,0.15
LINE0000389,ORD1000252,SKU10505,1,1059.62,0
LINE0000390,ORD1000253,SKU10423,1,970.24,0.05
LINE0000391,ORD1000254,SKU10330,6,2996.79,0.05
LINE0000392,ORD1000255,SKU10080,7,2205.5,0.1
LINE0000393,ORD1000255,SKU10324,5,1919.47,0.1
LINE0000394,ORD1000255,SKU10055,6,1821.31,0.15
LINE0000395,ORD1000256,SKU10123,7,3897.62,0.05
LINE0000396,ORD1000256,SKU10138,7,2483.32,0.1
LINE0000397,ORD1000257,SKU10370,2,462.71,0.1
LINE0000398,ORD1000258,SKU10028,1,1833.01,0.15
LINE0000399,ORD1000259,SKU10321,4,2578.14,0
LINE0000400,ORD1000259,SKU10489,1,3863.84,0.15
LINE0000401,ORD1000260,SKU10371,4,2651.14,0.05
LINE0000402,ORD1000260,SKU10390,6,1517.98,0.05
LINE0000403,ORD1000261,SKU10145,1,179.52,0.05
LINE0000404,ORD1000262,SKU10005,4,2286.61,0.15
LINE0000405,ORD1000263,SKU10345,1,314.15,0.05
LINE0000406,ORD1000263,SKU10385,4,2146.15,0.05
LINE0000407,ORD1000264,SKU10036,3,2232.18,0.15
LINE0000408,ORD1000265,SKU10310,7,4169.07,0.1
LINE0000409,ORD1000266,SKU10174,6,4301.42,0.05
LINE0000410,ORD1000267,SKU10521,4,532.14,0.05
LINE0000411,ORD1000268,SKU10067,2,1422.73,0.15
LINE0000412,ORD1000268,SKU10106,3,2487.05,0.1
LINE0000413,ORD1000269,SKU10484,6,2601.97,0.15
LINE0000414,ORD1000270,SKU10072,1,1962.38,0.1
LINE0000415,ORD1000271,SKU10247,5,1849.14,0.15
LINE0000416,ORD1000272,SKU10229,4,3425.61,0.05
LINE0000417,ORD1000273,SKU10168,6,644.11,0.15
LINE0000418,ORD1000274,SKU10371,4,2805.04,0.05
LINE0000419,ORD1000275,SKU10560,6,3256.67,0
LINE0000420,ORD1000276,SKU10205,7,736.28,0.05
LINE0000421,ORD1000276,SKU10475,3,2953.01,0
LINE0000422,ORD1000277,SKU10279,7,561.66,0.05
LINE0000423,ORD1000278,SKU10204,7,1551.62,0.1
LINE0000424,ORD1000279,SKU10437,4,3710.52,0
LINE0000425,ORD1000279,SKU10391,1,155.84,0.1
LINE0000426,ORD1000280,SKU10198,6,3345.47,0.15
LINE0000427,ORD1000281,SKU10346,2,323.18,0.15
LINE0000428,ORD1000282,SKU10432,5,2711.74,0.1
LINE0000429,ORD1000282,SKU10264,7,2394.15,0
LINE0000430,ORD1000282,SKU10055,1,1659.84,0.1
LINE0000431,ORD1000283,SKU10342,7,815.68,0
LINE0000432,ORD1000283,SKU10424,5,2909.13,0.1
LINE0000433,ORD1000284,SKU10398,7,3843.17,0
LINE0000434,ORD1000284,SKU10458,6,195.09,0.15
LINE0000435,ORD1000284,SKU10020,4,3320.99,0.15
LINE0000436,ORD1000285,SKU10333,6,2978.91,0.1
LINE0000437,ORD1000286,SKU10274,2,2782.15,0.1
LINE0000438,ORD1000286,SKU10380,7,2003.88,0.05
LINE0000439,ORD1000287,SKU10412,5,419.87,0
LINE0000440,ORD1000287,SKU10337,7,329.63,0.05
LINE0000441,ORD1000288,SKU10285,2,2513.28,0.15
LINE0000442,ORD1000289,SKU10159,6,1471.88,0.15
LINE0000443,ORD1000290,SKU10066,2,960.27,0.15
LINE0000444,ORD1000291,SKU10519,4,2846.16,0.05
LINE0000445,ORD1000292,SKU10164,3,3108.06,0.05
LINE0000446,ORD1000292,SKU10423,2,1063.91,0.05
LINE0000447,ORD1000293,SKU10145,2,154.44,0
LINE0000448,ORD1000294,SKU10219,1,167.79,0.15
LINE0000449,ORD1000294,SKU10466,3,3651.98,0.05
LINE0000450,ORD1000295,SKU10579,7,1161.72,0.05
LINE0000451,ORD1000296,SKU10531,7,1182.91,0.05
LINE0000452,ORD1000297,SKU10325,5,735.05,0.1
LINE0000453,ORD1000297,SKU10441,5,473.18,0.1
LINE0000454,ORD1000298,SKU10132,7,1161.86,0.1
LINE0000455,ORD1000299,SKU10367,6,2519.1,0.15
LINE0000456,ORD1000299,SKU10253,2,2187.76,0.1
LINE0000457,ORD1000300,SKU10207,4,574.59,0.1
LINE0000458,ORD1000300,SKU10331,3,1573.12,0.1
LINE0000459,ORD1000301,SKU10579,7,1360.93,0.1
LINE0000460,ORD1000301,SKU10104,5,1602.2,0.1
