warehouse_id,prd_id,stock_qty,reorder_level,last_stock_date
WH008,SKU10402,118,58,05/11/2025
WH005,SKU10530,241,53,07/30/2024
WH003,SKU10047,924,119,06/01/2024
WH005,SKU10032,164,93,03/28/2024
WH007,SKU10277,658,60,11/03/2025
WH005,SKU10310,661,34,07/31/2024
WH004,SKU10455,469,179,07/17/2026
WH005,SKU10137,996,21,08/15/2024
WH007,SKU10274,674,239,03/29/2024
WH004,SKU10367,966,40,05/02/2026
WH002,SKU10394,257,204,02/16/2026
WH005,SKU10326,739,61,06/02/2025
WH006,SKU10355,767,192,04/10/2026
WH008,SKU10099,918,59,12/26/2025
WH001,SKU10279,408,141,06/25/2024
WH008,SKU10325,328,204,02/19/2025
WH007,SKU10048,804,68,07/11/2026
WH006,SKU10582,717,57,11/09/2025
WH002,SKU10380,270,198,09/12/2025
WH002,SKU10431,301,199,06/26/2024
WH004,SKU10321,789,137,06/18/2025
WH002,SKU10559,567,54,06/14/2024
WH006,SKU10004,906,105,11/02/2025
WH007,SKU10575,628,80,08/10/2024
WH004,SKU10125,980,204,10/15/2024
WH006,SKU10531,324,104,07/27/2025
WH007,SKU10037,775,125,01/26/2024
WH008,SKU10188,186,93,11/30/2025
WH006,SKU10343,702,67,03/18/2025
WH002,SKU10395,414,247,05/27/2025
WH002,SKU10010,517,155,01/13/2026
WH008,SKU10216,806,179,02/09/2026
WH007,SKU10506,101,100,07/07/2026
WH007,SKU10110,219,44,06/28/2024
WH004,SKU10569,557,225,03/06/2025
WH002,SKU10427,411,222,04/05/2024
WH005,SKU10586,561,33,09/20/2024
WH006,SKU10542,427,268,07/05/2025
WH002,SKU10136,60,258,05/11/2024
WH004,SKU10565,936,257,03/21/2025
WH004,SKU10298,689,149,07/24/2026
WH003,SKU10156,608,214,03/11/2024
WH007,SKU10535,144,24,08/18/2024
WH004,SKU10283,193,187,10/09/2024
WH008,SKU10413,594,57,06/30/2026
WH001,SKU10367,47,274,01/04/2026
WH008,SKU10180,469,284,07/02/2024
WH006,SKU10590,888,62,12/01/2025
WH006,SKU10501,874,170,01/19/2024
WH003,SKU10318,512,185,03/09/2026
WH001,SKU10345,228,235,08/12/2024
WH002,SKU10042,69,156,12/12/2025
WH004,SKU10438,167,267,05/07/2025
WH003,SKU10546,277,116,01/03/2026
WH002,SKU10582,548,109,12/14/2024
WH001,SKU10336,724,224,06/14/2025
WH006,SKU10599,457,173,06/26/2026
WH006,SKU10479,825,42,03/13/2026
WH002,SKU10303,157,202,06/29/2025
WH007,SKU10481,420,98,07/11/2026
WH008,SKU10094,611,255,04/27/2024
WH008,SKU10406,49,254,12/01/2025
WH002,SKU10372,905,137,09/17/2025
WH004,SKU10296,995,258,09/13/2024
WH001,SKU10387,738,286,01/23/2025
WH001,SKU10512,701,224,02/09/2025
WH007,SKU10344,205,189,11/09/2025
WH008,SKU10228,178,281,09/16/2025
WH002,SKU10254,234,264,02/25/2026
WH004,SKU10341,130,153,10/19/2025
WH001,SKU10349,555,43,09/12/2026
WH007,SKU10189,957,188,04/09/2026
WH005,SKU10321,675,149,07/30/2025
WH003,SKU10173,880,122,01/19/2024
WH008,SKU10567,978,70,01/01/2025
WH002,SKU10321,660,220,05/07/2024
WH003,SKU10503,100,275,03/09/2025
WH006,SKU10228,930,187,09/20/2026
WH004,SKU10237,544,85,02/06/2025
WH006,SKU10174,545,20,03/28/2026
WH002,SKU10343,987,219,03/26/2025
WH006,SKU10370,682,64,07/30/2025
WH005,SKU10340,106,37,01/31/2024
WH001,SKU10503,763,75,11/18/2025
WH003,SKU10307,972,76,09/04/2024
WH003,SKU10493,233,115,04/05/2025
WH005,SKU10035,459,109,09/14/2026
WH004,SKU10217,99,75,08/11/2024
WH004,SKU10428,715,238,07/17/2026
WH002,SKU10231,138,251,04/08/2026
WH008,SKU10439,422,90,02/18/2024
WH006,SKU10356,648,123,01/04/2025
WH006,SKU10291,840,248,09/06/2026
WH003,SKU10335,316,286,03/30/2025
WH006,SKU10541,908,240,03/02/2026
WH002,SKU10408,19,174,07/07/2026
WH004,SKU10591,162,297,01/03/2024
WH003,SKU10058,114,223,01/01/2026
WH003,SKU10488,745,209,07/02/2026
WH006,SKU10535,358,28,07/31/2025
WH003,SKU10557,15,198,08/18/2026
WH006,SKU10324,787,100,11/30/2025
WH005,SKU10293,273,188,09/20/2025
WH008,SKU10351,680,180,05/03/2024
WH002,SKU10549,550,50,02/27/2026
WH008,SKU10521,107,149,05/05/2026
WH002,SKU10562,601,163,11/28/2024
WH005,SKU10582,860,33,06/07/2024
WH003,SKU10375,362,258,07/26/2025
WH007,SKU10156,832,282,07/27/2026
WH002,SKU10091,266,25,01/01/2026
WH003,SKU10539,279,53,03/21/2026
WH002,SKU10092,167,55,07/15/2025
WH008,SKU10043,207,143,02/21/2025
WH005,SKU10284,235,188,10/31/2024
WH002,SKU10446,647,87,03/18/2026
WH007,SKU10442,125,257,10/11/2025
WH003,SKU10153,542,106,01/17/2026
WH002,SKU10301,257,106,04/18/2026
WH004,SKU10537,142,184,09/06/2026
WH007,SKU10480,820,264,04/16/2026
WH007,SKU10551,537,89,03/22/2025
WH001,SKU10462,283,114,05/12/2024
WH008,SKU10055,636,114,07/13/2025
WH008,SKU10123,907,150,03/21/2025
WH003,SKU10102,279,140,07/24/2026
WH005,SKU10080,241,286,02/08/2024
WH004,SKU10516,681,61,05/06/2026
WH004,SKU10424,489,136,09/24/2025
WH006,SKU10549,672,91,03/11/2024
WH006,SKU10193,163,187,08/30/2024
WH004,SKU10588,932,238,03/03/2024
WH004,SKU10559,12,281,07/19/2026
WH004,SKU10064,270,142,10/06/2025
WH004,SKU10522,623,94,09/10/2025
WH001,SKU10067,517,289,06/04/2025
WH003,SKU10271,334,45,02/04/2025
WH006,SKU10109,976,56,06/20/2024
WH008,SKU10349,341,288,01/01/2026
WH007,SKU10011,676,268,05/11/2024
WH007,SKU10509,404,176,07/26/2024
WH007,SKU10286,437,112,09/03/2026
WH005,SKU10523,776,290,04/01/2024
WH006,SKU10261,350,288,08/08/2026
WH007,SKU10335,396,262,03/28/2024
WH002,SKU10443,780,236,05/01/2025
WH002,SKU10584,81,186,08/05/2025
WH003,SKU10225,429,124,04/23/2024
WH005,SKU10313,275,151,06/07/2026
WH007,SKU10195,479,171,08/15/2026
WH004,SKU10025,574,154,08/10/2024
WH008,SKU10524,426,261,08/09/2024
WH003,SKU10338,993,66,01/30/2026
WH004,SKU10224,912,43,01/06/2025
WH008,SKU10467,138,146,02/07/2024
WH002,SKU10492,641,77,01/20/2026
WH007,SKU10591,320,250,12/19/2024
WH002,SKU10263,713,257,02/11/2025
WH008,SKU10064,483,296,10/15/2025
WH003,SKU10292,953,128,07/31/2025
WH006,SKU10265,944,288,04/06/2026
WH006,SKU10125,51,48,03/08/2026
WH004,SKU10352,103,289,08/01/2026
WH005,SKU10249,17,88,07/07/2026
WH007,SKU10529,792,25,09/24/2025
WH008,SKU10029,224,251,07/10/2025
WH001,SKU10430,721,164,04/07/2025
WH004,SKU10362,328,135,10/26/2025
WH007,SKU10139,302,76,03/01/2024
WH005,SKU10212,602,136,02/06/2025
WH001,SKU10516,772,192,10/02/2024
WH002,SKU10219,564,60,07/10/2025
WH007,SKU10399,572,284,07/12/2026
WH004,SKU10308,735,222,04/25/2025
WH006,SKU10538,167,265,08/05/2025
WH008,SKU10397,589,32,02/06/2025
WH001,SKU10501,282,262,12/08/2024
WH004,SKU10543,150,262,11/12/2025
WH002,SKU10078,324,122,09/05/2024
WH007,SKU10501,188,179,05/29/2026
WH004,SKU10577,319,160,04/23/2024
WH008,SKU10022,18,251,08/10/2024
WH003,SKU10273,745,98,01/21/2026
WH002,SKU10153,345,277,03/23/2024
WH007,SKU10590,658,175,02/16/2025
WH005,SKU10212,748,20,01/12/2025
WH002,SKU10113,818,104,07/25/2026
WH006,SKU10058,73,59,06/07/2024
WH004,SKU10476,508,246,03/30/2025
WH001,SKU10036,413,134,04/04/2025
WH003,SKU10183,347,150,03/29/2026
WH007,SKU10333,805,118,06/24/2025
WH002,SKU10027,63,216,05/10/2024
WH003,SKU10105,306,298,05/20/2026
WH003,SKU10597,793,264,05/30/2024
WH006,SKU10275,391,297,11/25/2025
WH007,SKU10183,70,103,09/30/2024
WH007,SKU10522,169,206,05/01/2024
WH006,SKU10049,297,194,07/10/2024
WH001,SKU10159,244,104,08/02/2026
WH008,SKU10517,667,256,09/03/2026
WH002,SKU10452,167,277,08/23/2025
WH004,SKU10260,762,286,03/19/2026
WH007,SKU10589,308,296,06/21/2026
WH002,SKU10346,63,65,12/14/2024
WH002,SKU10448,6,61,01/27/2026
WH001,SKU10591,605,210,06/03/2025
WH003,SKU10303,733,223,06/22/2024
WH004,SKU10289,132,141,06/17/2025
WH004,SKU10399,305,65,02/15/2024
WH001,SKU10041,756,99,08/30/2025
WH002,SKU10258,867,55,09/17/2024
WH001,SKU10415,728,64,04/13/2024
WH002,SKU10228,615,72,12/06/2025
WH005,SKU10427,746,183,12/14/2024
WH001,SKU10242,293,163,03/23/2025
WH002,SKU10117,59,113,03/26/2024
WH005,SKU10088,562,171,03/20/2024
WH005,SKU10328,557,207,07/08/2026
WH008,SKU10117,802,47,08/22/2025
WH005,SKU10222,237,98,02/07/2025
WH008,SKU10312,888,76,10/27/2025
WH006,SKU10030,493,20,12/28/2025
WH005,SKU10253,439,52,04/23/2024
WH004,SKU10187,989,234,07/09/2026
WH001,SKU10189,541,265,10/17/2025
WH006,SKU10546,85,65,11/05/2024
WH008,SKU10555,249,234,09/25/2024
WH003,SKU10181,592,90,03/28/2024
WH003,SKU10529,226,59,09/13/2024
WH001,SKU10134,160,85,12/02/2024
WH005,SKU10209,293,277,08/01/2024
WH003,SKU10565,507,115,11/01/2025
WH001,SKU10061,88,227,09/09/2024
WH001,SKU10230,518,155,05/14/2025
WH003,SKU10484,725,142,07/12/2025
WH004,SKU10565,453,247,03/15/2024
WH004,SKU10570,692,297,06/17/2024
WH006,SKU10529,637,202,03/11/2024
WH005,SKU10579,493,257,11/21/2025
WH007,SKU10283,974,60,11/30/2025
WH003,SKU10194,609,272,05/09/2024
WH002,SKU10231,804,71,01/06/2026
WH005,SKU10073,639,73,03/22/2026
WH001,SKU10083,958,257,04/19/2024
WH007,SKU10585,428,155,04/26/2024
WH002,SKU10115,185,89,03/05/2026
WH008,SKU10370,177,27,11/04/2024
WH008,SKU10140,993,81,12/11/2024
WH005,SKU10399,797,250,08/11/2025
WH003,SKU10283,301,20,03/09/2024
WH003,SKU10064,444,277,03/13/2025
WH004,SKU10224,29,236,11/29/2024
WH004,SKU10439,952,77,04/02/2026
WH001,SKU10481,433,226,12/31/2025
WH002,SKU10174,381,165,10/13/2024
WH007,SKU10179,242,117,10/17/2025
WH001,SKU10438,77,161,02/06/2025
WH004,SKU10255,760,22,04/26/2025
WH008,SKU10043,218,266,01/05/2026
WH001,SKU10074,82,239,10/06/2024
WH008,SKU10225,978,70,08/01/2025
WH004,SKU10163,545,47,02/21/2025
WH004,SKU10072,72,138,10/12/2025
WH006,SKU10470,285,148,01/16/2025
WH007,SKU10276,551,236,07/24/2026
WH004,SKU10425,202,255,01/25/2025
WH001,SKU10002,989,37,04/19/2024
WH008,SKU10242,875,88,05/04/2025
WH001,SKU10287,885,184,08/26/2024
WH007,SKU10347,513,126,03/31/2025
WH004,SKU10581,988,297,07/09/2026
WH005,SKU10276,322,205,04/12/2024
WH007,SKU10294,553,110,02/12/2024
WH008,SKU10538,744,208,10/17/2024
WH002,SKU10240,502,140,03/11/2025
WH007,SKU10237,852,149,05/09/2024
WH006,SKU10096,99,220,11/26/2025
WH003,SKU10434,439,141,08/25/2025
WH004,SKU10012,829,215,12/02/2025
WH007,SKU10132,178,137,02/26/2025
WH002,SKU10251,381,186,07/19/2026
WH005,SKU10261,994,156,11/02/2025
WH006,SKU10024,611,180,07/09/2026
WH005,SKU10318,355,117,03/28/2024
WH004,SKU10584,359,53,10/29/2025
WH005,SKU10063,201,91,12/10/2024
WH005,SKU10297,733,119,07/11/2024
WH007,SKU10353,98,108,06/29/2024
WH007,SKU10195,204,137,07/15/2024
WH008,SKU10345,119,153,04/02/2024
WH001,SKU10205,752,90,03/30/2025
WH003,SKU10096,942,126,02/12/2026
WH008,SKU10505,82,99,04/08/2025
WH006,SKU10600,946,183,05/10/2024
WH004,SKU10232,915,153,12/08/2025
WH006,SKU10056,505,196,06/23/2024
WH004,SKU10099,32,140,05/18/2026
WH008,SKU10538,690,298,01/01/2025
WH005,SKU10529,522,155,01/02/2024
WH004,SKU10295,831,192,10/19/2024
WH005,SKU10523,291,143,04/12/2026
WH002,SKU10134,555,225,07/08/2026
WH007,SKU10241,891,176,02/25/2025
WH002,SKU10068,665,47,09/15/2026
WH001,SKU10327,644,224,08/19/2024
WH001,SKU10420,966,232,02/26/2025
WH001,SKU10577,487,132,04/03/2025
WH001,SKU10453,168,162,07/20/2024
WH001,SKU10399,976,23,01/18/2025
WH003,SKU10405,134,262,05/13/2025
WH008,SKU10378,548,238,11/30/2025
WH001,SKU10252,751,291,05/10/2025
WH006,SKU10301,786,187,04/13/2024
WH007,SKU10104,701,84,04/11/2025
WH007,SKU10013,422,101,04/28/2026
WH003,SKU10474,181,280,01/21/2024
WH001,SKU10298,33,32,09/25/2026
WH003,SKU10523,298,208,05/08/2024
WH005,SKU10074,971,39,01/10/2024
WH007,SKU10236,683,226,05/21/2024
WH002,SKU10155,403,182,09/07/2024
WH003,SKU10505,491,152,12/17/2024
WH005,SKU10227,330,216,04/09/2026
WH006,SKU10382,892,119,08/03/2025
WH003,SKU10051,450,180,09/30/2025
WH007,SKU10317,836,244,05/27/2026
WH007,SKU10265,46,148,05/11/2024
WH003,SKU10367,484,26,08/11/2024
WH005,SKU10352,600,298,08/26/2026
WH004,SKU10065,665,171,02/10/2026
WH006,SKU10031,18,140,02/29/2024
WH003,SKU10076,641,40,08/14/2024
WH003,SKU10131,838,45,01/08/2025
WH004,SKU10437,87,91,02/02/2024
WH002,SKU10162,327,278,08/05/2025
WH005,SKU10582,422,223,10/11/2025
WH008,SKU10053,250,135,12/01/2024
WH003,SKU10305,437,231,08/02/2024
WH007,SKU10430,892,129,03/01/2025
WH004,SKU10033,896,268,07/08/2026
WH002,SKU10309,599,111,12/19/2025
WH004,SKU10041,884,220,07/22/2026
WH004,SKU10474,814,142,07/06/2025
WH001,SKU10281,52,208,04/15/2024
WH004,SKU10519,383,72,02/29/2024
WH002,SKU10395,844,284,07/13/2024
WH007,SKU10191,439,100,06/05/2025
WH005,SKU10093,609,170,07/29/2024
WH003,SKU10095,409,212,11/13/2024
WH001,SKU10020,11,203,06/30/2026
WH005,SKU10181,562,175,02/13/2024
WH006,SKU10438,378,263,03/19/2024
WH004,SKU10213,772,291,01/24/2025
WH008,SKU10088,887,233,01/21/2026
WH002,SKU10049,100,71,04/03/2026
WH007,SKU10263,355,235,10/14/2024
WH004,SKU10126,389,160,10/17/2024
WH003,SKU10441,674,170,08/05/2025
WH003,SKU10203,393,283,05/15/2026
WH004,SKU10076,563,167,06/26/2024
WH001,SKU10164,907,258,06/11/2026
WH006,SKU10266,587,201,03/17/2026
WH004,SKU10023,93,44,09/24/2024
WH006,SKU10067,478,216,11/01/2025
WH005,SKU10577,885,158,09/20/2025
WH008,SKU10209,479,172,01/22/2024
WH001,SKU10449,982,104,02/05/2025
WH004,SKU10548,902,71,08/25/2024
WH005,SKU10069,260,228,03/09/2024
WH002,SKU10412,410,89,04/11/2025
WH006,SKU10500,181,46,12/03/2025
WH003,SKU10014,187,158,06/15/2025
WH007,SKU10187,364,219,03/29/2024
WH008,SKU10081,416,77,04/07/2026
WH007,SKU10020,347,121,03/11/2024
WH006,SKU10177,731,138,01/21/2025
WH006,SKU10110,147,278,07/22/2025
WH007,SKU10538,472,61,07/15/2026
WH008,SKU10143,888,277,01/23/2026
WH006,SKU10449,730,60,07/12/2024
WH008,SKU10031,200,181,03/03/2025
WH008,SKU10371,235,256,05/07/2026
WH002,SKU10417,925,273,09/04/2024
WH005,SKU10092,580,171,06/23/2026
WH003,SKU10259,879,158,06/17/2025
WH008,SKU10558,863,238,09/18/2025
WH006,SKU10369,438,274,10/24/2025
WH008,SKU10485,526,23,08/25/2026
WH003,SKU10255,365,93,11/18/2025
WH007,SKU10144,635,99,02/14/2025
WH001,SKU10282,647,253,08/13/2025
WH008,SKU10243,677,24,11/30/2025
WH002,SKU10590,860,55,08/21/2025
WH005,SKU10258,738,20,01/11/2024
WH006,SKU10377,97,286,06/20/2026
WH006,SKU10353,347,28,10/01/2024
WH002,SKU10223,567,94,10/12/2025
WH005,SKU10225,624,166,07/20/2025
WH005,SKU10507,863,117,04/30/2024
WH007,SKU10127,413,45,05/25/2026
WH003,SKU10250,820,135,03/24/2024
WH007,SKU10401,387,243,08/10/2026
WH005,SKU10034,141,100,07/10/2026
WH007,SKU10407,472,164,08/02/2025
WH008,SKU10500,144,151,08/12/2026
WH004,SKU10266,404,88,05/05/2026
WH004,SKU10350,238,20,06/18/2026
WH007,SKU10292,20,254,03/10/2026
WH007,SKU10400,661,298,07/18/2026
WH008,SKU10031,740,162,02/12/2026
WH005,SKU10371,127,252,05/30/2026
WH006,SKU10274,582,118,04/21/2024
WH001,SKU10022,499,284,03/02/2025
WH004,SKU10481,133,179,04/23/2025
WH002,SKU10092,606,244,06/28/2026
WH007,SKU10355,257,208,05/01/2025
WH001,SKU10511,821,278,03/15/2025
WH007,SKU10553,609,176,02/26/2026
WH007,SKU10377,107,257,10/12/2025
WH004,SKU10430,515,281,08/09/2025
WH006,SKU10351,112,232,07/02/2026
WH005,SKU10467,722,119,03/30/2026
WH006,SKU10586,293,45,12/12/2025
WH006,SKU10276,486,134,08/14/2026
WH003,SKU10248,694,213,02/18/2024
WH006,SKU10105,843,260,07/08/2025
WH008,SKU10588,509,235,02/01/2024
WH003,SKU10548,72,198,03/02/2026
WH003,SKU10424,255,170,05/07/2024
WH003,SKU10396,611,290,07/14/2025
WH008,SKU10123,37,88,02/21/2026
WH008,SKU10546,368,241,09/17/2025
WH003,SKU10035,320,174,02/28/2024
WH008,SKU10371,303,163,04/21/2025
WH007,SKU10153,953,131,02/18/2026
WH004,SKU10273,943,197,08/17/2026
WH007,SKU10058,896,299,06/17/2026
WH008,SKU10081,863,133,03/28/2026
WH007,SKU10227,892,51,11/02/2024
WH004,SKU10239,179,55,01/21/2026
WH002,SKU10529,390,69,06/15/2024
WH002,SKU10359,52,133,11/25/2024
WH007,SKU10019,796,21,10/10/2024
WH006,SKU10559,866,98,04/30/2025
WH006,SKU10367,24,214,05/25/2026
WH001,SKU10498,165,209,05/12/2026
WH008,SKU10555,164,207,06/11/2026
WH001,SKU10308,927,207,07/25/2026
WH005,SKU10108,789,41,01/29/2024
WH008,SKU10269,273,282,09/24/2026
WH002,SKU10413,40,103,05/27/2026
WH005,SKU10020,408,42,01/04/2026
WH007,SKU10568,582,247,03/21/2024
WH003,SKU10211,40,150,12/31/2025
WH001,SKU10396,466,117,11/06/2025
WH004,SKU10589,535,131,04/03/2024
WH007,SKU10520,981,183,07/20/2024
WH005,SKU10445,184,167,01/21/2026
WH004,SKU10180,179,23,06/16/2024
WH006,SKU10315,428,53,12/12/2024
WH001,SKU10301,316,285,08/31/2025
WH003,SKU10518,919,157,05/14/2026
WH008,SKU10024,785,296,10/11/2024
WH004,SKU10014,248,203,01/12/2024
WH008,SKU10071,331,226,05/01/2026
WH005,SKU10575,633,107,07/23/2026
WH008,SKU10325,870,254,05/04/2026
WH006,SKU10420,197,202,04/28/2025
WH004,SKU10057,292,230,12/21/2025
WH008,SKU10008,607,94,05/07/2024
WH003,SKU10391,859,184,09/29/2025
WH004,SKU10424,285,123,08/23/2025
WH006,SKU10257,464,274,09/27/2025
WH007,SKU10050,679,274,11/23/2025
WH002,SKU10294,422,118,06/08/2026
WH008,SKU10384,769,27,02/18/2026
WH004,SKU10129,512,89,02/06/2024
